,train_RMSE,train_MAE,train_R2,valid_RMSE,valid_MAE,valid_R2
1,185.95083618164062,156.50234985351562,-62362.83984375,183.35609436035156,154.00439453125,-210254.40625
2,185.80067443847656,156.5215301513672,-23636.869140625,182.76995849609375,153.8218994140625,-13539.23046875
3,185.68287658691406,156.71669006347656,-9123.0576171875,182.30006408691406,153.6871795654297,-4734.77587890625
4,184.97975158691406,156.2078857421875,-4581.28173828125,181.7715301513672,153.2835235595703,-3523.21435546875
5,184.22225952148438,155.78009033203125,-2904.1787109375,181.0965576171875,152.76222229003906,-2462.923095703125
6,183.69618225097656,155.56813049316406,-2002.4793701171875,180.3704071044922,152.3692169189453,-1481.803955078125
7,183.38961791992188,155.25515747070312,-1422.3077392578125,179.75848388671875,151.88917541503906,-1144.210205078125
8,181.83192443847656,154.0471954345703,-1014.7662963867188,179.56382751464844,151.73927307128906,-1016.5143432617188
9,181.68704223632812,153.96481323242188,-760.9783935546875,177.6550750732422,150.26437377929688,-598.4414672851562
10,180.18460083007812,152.83428955078125,-574.7733154296875,175.92381286621094,148.7984619140625,-435.090087890625
11,179.52340698242188,152.45123291015625,-446.2630310058594,176.97213745117188,150.07736206054688,-418.7709045410156
12,178.39344787597656,151.58230590820312,-350.10693359375,174.52935791015625,147.9238739013672,-298.4808044433594
13,177.1401824951172,150.6636199951172,-278.0212097167969,176.6284942626953,149.60433959960938,-366.04571533203125
14,176.42794799804688,150.3647918701172,-224.50823974609375,172.8929901123047,146.90660095214844,-201.1239013671875
15,174.8328094482422,148.9645538330078,-181.4424285888672,172.51792907714844,146.65283203125,-176.728515625
16,173.45098876953125,148.20440673828125,-148.3647003173828,170.4334259033203,145.40296936035156,-122.49910736083984
17,172.6180419921875,147.57504272460938,-123.33297729492188,167.95431518554688,142.9687042236328,-104.37289428710938
18,171.0215301513672,146.2732696533203,-102.41792297363281,166.9475555419922,142.26007080078125,-91.4157485961914
19,169.0791778564453,144.68226623535156,-85.46541595458984,167.928955078125,143.71742248535156,-72.51410675048828
20,168.2302703857422,143.8862762451172,-72.6108169555664,169.34967041015625,145.11729431152344,-84.52458953857422
21,186.79212951660156,157.2213134765625,-52696.8125,183.46685791015625,154.05014038085938,-509034.375
22,187.1421356201172,157.70278930664062,-53802.98828125,183.45928955078125,154.142333984375,-63103.7265625
23,186.73202514648438,157.32713317871094,-49842.25,183.4283905029297,154.11109924316406,-49922.44140625
24,186.66993713378906,157.21554565429688,-43185.9921875,183.39691162109375,154.1170654296875,-44693.1015625
25,186.7607879638672,157.4051513671875,-43176.55078125,183.3455810546875,154.0911865234375,-31392.873046875
26,186.30545043945312,156.88426208496094,-37257.234375,183.3374786376953,154.0764923095703,-27578.400390625
27,186.4777069091797,157.15371704101562,-34934.37109375,183.22811889648438,153.98873901367188,-31287.8046875
28,186.32614135742188,156.95370483398438,-32754.779296875,183.2217559814453,153.96728515625,-28971.064453125
29,187.02560424804688,157.65127563476562,-28981.626953125,183.2166290283203,153.95423889160156,-26323.08984375
30,186.2881317138672,156.7886962890625,-27477.771484375,183.1910400390625,153.95632934570312,-24911.23046875
31,186.22634887695312,156.87408447265625,-22786.7265625,183.1549530029297,153.9351043701172,-19880.45703125
32,186.49716186523438,157.2062225341797,-22146.15234375,183.14926147460938,153.9838409423828,-17967.576171875
33,186.1988525390625,156.89254760742188,-19950.5,183.0890655517578,153.9064178466797,-18829.677734375
34,186.39053344726562,157.17388916015625,-17899.00390625,183.06715393066406,153.89320373535156,-18219.3828125
35,186.44943237304688,157.12139892578125,-17305.033203125,183.03793334960938,153.8959503173828,-15882.734375
36,185.58551025390625,156.2858123779297,-15705.7451171875,182.97128295898438,153.82029724121094,-13893.8095703125
37,186.09255981445312,156.79556274414062,-14738.8525390625,182.93246459960938,153.8206329345703,-13892.37109375
38,185.87939453125,156.5909881591797,-13534.9482421875,182.94561767578125,153.82876586914062,-13784.0546875
39,186.33737182617188,157.03219604492188,-12530.2373046875,182.78265380859375,153.6575469970703,-11645.3896484375
40,186.025634765625,156.90115356445312,-11658.4384765625,182.7383575439453,153.62716674804688,-10295.4296875
41,178.04830932617188,151.5610809326172,-142.46434020996094,187.92807006835938,160.81942749023438,-636.6067504882812
42,130.9844512939453,112.65495300292969,-3.018836498260498,141.82041931152344,121.37748718261719,-6.318810939788818
43,71.71576690673828,56.072052001953125,0.5183287858963013,86.93382263183594,67.83024597167969,-1.2863459587097168
44,58.00201416015625,44.45718002319336,0.6405625939369202,73.91775512695312,58.125125885009766,0.48361366987228394
45,56.085304260253906,42.19091033935547,0.6585609912872314,62.58082580566406,46.023536682128906,0.6422351598739624
46,56.18534851074219,42.75773620605469,0.6576825380325317,57.80329132080078,44.30988311767578,0.5154199600219727
